Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
6,0,0,0,0
12,0,0,0,0
18,4,0,0,0
24,4,0,0,0
30,8,0,0,1
36,8,0,0,1
42,9,0,0,1
48,10,0,0,1
54,10,2,0,1
60,10,2,0,1
66,10,2,0,1
72,11,4,0,1
78,11,4,0,1
84,9,2,0,1
90,10,2,0,1
96,11,2,0,1
102,10,2,0,1
108,9,2,0,1
114,9,2,0,1
120,10,6,0,1
126,14,8,0,1
132,14,6,0,1
138,13,6,0,1
144,13,6,0,1
150,10,0,0,1
156,8,0,0,1
162,8,0,0,1
168,8,0,0,1
174,8,0,0,1
180,8,0,0,1
186,8,0,0,1
192,0,0,0,0
198,9,0,0,1
204,9,0,0,1
210,9,0,0,1
216,8,2,0,1
222,8,0,0,1
228,6,2,0,1
234,6,2,0,1
240,0,0,0,0
246,7,0,0,1
252,7,0,0,1
258,7,0,0,1
264,6,0,0,1
270,6,2,0,1
276,7,2,0,1
282,8,0,0,1
288,9,0,0,1
294,9,0,0,1
300,8,0,0,1
306,6,0,0,1
312,6,0,0,1
318,7,0,0,1
324,7,0,0,1
330,7,0,0,1
336,8,0,0,1
342,8,0,0,1
348,10,0,0,1
354,10,0,0,1
360,9,0,0,1
366,9,0,0,1
372,9,0,0,1
